Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,111,1.000,615.000,111.000,0.000,0.000,2.589,2024-05-13T17:02:40
200,44567,0.989,668.370,234.170,0.000,0.000,943.278,2024-05-13T17:18:23
400,84364,0.979,660.630,207.380,0.000,0.000,843.923,2024-05-13T17:32:27
600,124495,0.969,654.770,195.040,0.516,5.725,895.022,2024-05-13T17:47:22
800,164880,0.960,610.370,176.820,0.738,15.112,944.397,2024-05-13T18:03:06
1000,205125,0.950,636.610,199.180,0.856,20.870,937.160,2024-05-13T18:18:44
1200,250952,0.939,735.270,256.590,1.077,24.545,1053.425,2024-05-13T18:36:17
1400,295993,0.929,613.400,189.710,1.079,26.201,1046.092,2024-05-13T18:53:43
1600,337541,0.919,636.340,184.650,1.036,27.228,966.680,2024-05-13T19:09:50
1800,377997,0.910,714.990,219.370,1.107,29.568,950.441,2024-05-13T19:25:40
2000,419998,0.900,680.410,214.860,1.161,31.424,1000.865,2024-05-13T19:42:21
2200,459942,0.891,629.520,178.470,1.160,30.976,945.037,2024-05-13T19:58:06
2400,498718,0.883,574.920,190.430,1.038,31.686,930.087,2024-05-13T20:13:36
2600,538348,0.874,638.790,203.070,1.099,32.082,947.385,2024-05-13T20:29:24
2800,580035,0.865,703.920,219.380,1.053,31.377,1011.288,2024-05-13T20:46:15
3000,621307,0.856,601.450,160.610,1.080,31.067,975.610,2024-05-13T21:02:31
3200,662378,0.847,663.950,186.330,1.019,31.694,968.589,2024-05-13T21:18:39
3400,702044,0.839,620.850,192.940,1.046,33.564,947.645,2024-05-13T21:34:27
3600,740776,0.831,640.310,190.570,1.009,33.249,918.718,2024-05-13T21:49:46
3800,779176,0.823,649.540,200.730,1.077,33.540,908.478,2024-05-13T22:04:54
4000,819012,0.815,621.350,188.190,1.123,33.317,941.030,2024-05-13T22:20:35
4200,859829,0.807,682.060,197.620,1.062,32.588,969.592,2024-05-13T22:36:45
4400,895814,0.799,635.330,187.210,1.077,32.999,853.089,2024-05-13T22:50:58
4600,937640,0.791,683.820,232.580,1.052,31.930,991.669,2024-05-13T23:07:29
4800,978847,0.783,729.340,213.630,1.118,31.867,977.857,2024-05-13T23:23:47
5000,1015495,0.776,698.620,189.700,1.110,32.330,871.035,2024-05-13T23:38:18
5200,1054074,0.768,669.240,194.470,1.165,34.868,919.459,2024-05-13T23:53:38
5400,1095191,0.760,697.820,208.260,1.136,34.593,973.038,2024-05-14T00:09:51
5600,1133460,0.753,718.690,201.910,1.122,34.912,905.157,2024-05-14T00:24:56
5800,1175514,0.745,755.090,219.740,1.176,35.581,996.953,2024-05-14T00:41:33
6000,1212096,0.739,682.310,169.120,1.233,36.497,867.357,2024-05-14T00:56:00
6200,1253223,0.731,791.250,207.830,1.121,37.408,977.068,2024-05-14T01:12:17
6400,1289310,0.724,693.530,177.000,1.156,38.565,857.816,2024-05-14T01:26:35
6600,1325021,0.718,688.660,171.420,1.247,38.810,852.619,2024-05-14T01:40:48
6800,1362573,0.711,798.080,192.850,1.330,40.299,901.968,2024-05-14T01:55:50
7000,1399789,0.705,755.230,182.610,1.545,41.933,893.993,2024-05-14T02:10:44
7200,1433471,0.699,744.950,176.430,1.438,42.926,811.345,2024-05-14T02:24:15
7400,1470405,0.692,771.590,190.070,1.430,43.331,890.216,2024-05-14T02:39:05
7600,1505698,0.686,747.790,173.660,1.651,44.087,849.386,2024-05-14T02:53:15
7800,1540780,0.680,703.060,172.900,1.685,44.648,845.822,2024-05-14T03:07:20
8000,1580956,0.674,777.290,207.260,1.715,44.387,971.431,2024-05-14T03:23:32
8200,1616446,0.668,762.270,182.410,1.849,43.908,861.014,2024-05-14T03:37:53
8400,1651708,0.662,738.350,191.530,1.579,43.751,856.031,2024-05-14T03:52:09
8600,1689150,0.656,682.390,181.330,1.590,43.861,909.613,2024-05-14T04:07:19
8800,1727865,0.649,690.720,169.070,1.681,41.810,941.074,2024-05-14T04:23:00
9000,1766344,0.643,785.190,202.900,1.350,40.639,939.097,2024-05-14T04:38:39
9200,1803454,0.637,767.880,179.040,1.324,40.852,904.807,2024-05-14T04:53:44
9400,1838513,0.632,699.320,179.780,1.627,42.031,855.285,2024-05-14T05:07:59
9600,1875085,0.626,779.180,181.120,1.557,42.275,895.464,2024-05-14T05:22:54
9800,1907557,0.621,732.460,172.260,1.701,43.702,793.611,2024-05-14T05:36:08
10000,157,0.616,636.000,157.000,0.000,0.000,3.905,2024-05-14T13:37:51
10200,36952,0.610,708.200,195.060,0.000,0.000,865.130,2024-05-14T13:52:16
10400,80104,0.603,736.600,213.890,0.000,0.000,1016.311,2024-05-14T14:09:13
10600,117316,0.598,698.680,191.760,1.693,35.735,911.376,2024-05-14T14:24:24
10800,159961,0.592,744.510,216.300,1.226,37.086,1095.322,2024-05-14T14:42:39
