Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,331,1.0,1015.0,331.0,0.0,0.0,15.083,2024-05-15T16:30:20
100,23873,0.994,722.36,235.42,0.0,0.0,496.961,2024-05-15T16:38:37
200,225,0.993,1027.0,225.0,0.0,0.0,9.915,2024-05-15T16:40:53
300,22879,0.988,720.36,226.54,0.0,0.0,475.913,2024-05-15T16:48:49
400,41999,0.983,592.5,191.2,0.0,0.0,404.744,2024-05-15T16:55:33
500,64433,0.977,702.68,224.34,0.0,0.0,474.05,2024-05-15T17:03:27
600,87029,0.972,668.59,225.96,0.0,0.0,478.238,2024-05-15T17:11:26
700,110060,0.966,678.33,230.31,0.353,1.35,501.401,2024-05-15T17:19:47
800,133906,0.961,683.87,238.46,0.409,3.548,536.864,2024-05-15T17:28:44
900,155350,0.955,651.16,214.44,0.33,3.512,486.423,2024-05-15T17:36:50
1000,175728,0.951,641.82,203.78,0.3,3.543,463.601,2024-05-15T17:44:34
1100,193781,0.946,629.64,180.53,0.288,3.643,411.888,2024-05-15T17:51:26
1200,213272,0.942,658.02,194.91,0.258,3.743,447.786,2024-05-15T17:58:54
1300,235725,0.936,655.87,224.53,0.261,3.775,514.135,2024-05-15T18:07:28
1400,259031,0.931,693.9,233.06,0.26,3.758,533.938,2024-05-15T18:16:22
1500,280523,0.926,684.19,214.92,0.255,3.837,492.937,2024-05-15T18:24:35
1600,300163,0.921,636.95,196.4,0.259,3.76,451.384,2024-05-15T18:32:06
1700,322448,0.916,692.17,222.85,0.249,3.772,512.11,2024-05-15T18:40:38
1800,344530,0.911,694.41,220.82,0.245,3.679,507.579,2024-05-15T18:49:06
1900,366588,0.906,693.71,220.58,0.241,3.696,507.965,2024-05-15T18:57:34
2000,387326,0.902,605.21,207.38,0.244,3.737,478.802,2024-05-15T19:05:32
2100,411610,0.896,680.93,242.84,0.241,3.555,561.587,2024-05-15T19:14:54
2200,433584,0.891,645.1,219.74,0.235,3.472,508.414,2024-05-15T19:23:23
2300,453756,0.887,657.55,201.72,0.229,3.579,467.04,2024-05-15T19:31:10
2400,475091,0.882,681.82,213.35,0.234,3.57,495.163,2024-05-15T19:39:25
2500,497366,0.877,640.94,222.75,0.239,3.549,520.801,2024-05-15T19:48:06
2600,520792,0.872,656.42,234.26,0.235,3.606,546.332,2024-05-15T19:57:12
2700,542871,0.867,643.85,220.79,0.229,3.607,514.348,2024-05-15T20:05:46
2800,564254,0.863,624.19,213.83,0.23,3.442,501.897,2024-05-15T20:14:08
2900,586781,0.858,647.37,225.27,0.219,3.389,529.271,2024-05-15T20:22:57
3000,607005,0.853,628.34,202.24,0.22,3.398,472.228,2024-05-15T20:30:50
3100,631504,0.848,752.16,244.99,0.214,3.419,573.45,2024-05-15T20:40:23
3200,651718,0.844,686.06,202.14,0.214,3.519,472.318,2024-05-15T20:48:15
3300,676249,0.839,635.66,245.31,0.212,3.583,570.821,2024-05-15T20:57:46
3400,704362,0.833,689.89,281.13,0.205,3.472,652.971,2024-05-15T21:08:39
3500,731901,0.827,712.65,275.39,0.196,3.231,642.558,2024-05-15T21:19:22
3600,757592,0.822,652.25,256.91,0.194,3.042,598.963,2024-05-15T21:29:21
3700,781508,0.817,658.19,239.16,0.191,3.006,559.708,2024-05-15T21:38:40
3800,806107,0.812,702.93,245.99,0.196,3.119,576.304,2024-05-15T21:48:17
3900,831973,0.807,722.65,258.66,0.2,3.24,605.841,2024-05-15T21:58:23
4000,850314,0.803,619.45,183.41,0.204,3.364,429.906,2024-05-15T22:05:32
4100,873715,0.798,670.48,234.01,0.202,3.433,551.354,2024-05-15T22:14:44
4200,895270,0.794,700.42,215.55,0.203,3.468,506.777,2024-05-15T22:23:11
4300,919206,0.789,727.54,239.36,0.197,3.568,563.716,2024-05-15T22:32:34
4400,942745,0.785,698.4,235.39,0.195,3.592,555.027,2024-05-15T22:41:49
4500,964506,0.78,586.84,217.61,0.198,3.5,513.388,2024-05-15T22:50:23
4600,987222,0.776,702.85,227.16,0.196,3.527,536.927,2024-05-15T22:59:20
4700,1012320,0.771,697.91,250.98,0.194,3.442,594.576,2024-05-15T23:09:14
4800,1035552,0.767,621.37,232.32,0.198,3.39,549.345,2024-05-15T23:18:24
4900,1061610,0.762,725.88,260.58,0.19,3.333,617.082,2024-05-15T23:28:41
5000,1084705,0.757,682.93,230.95,0.194,3.288,548.63,2024-05-15T23:37:49
5100,1109599,0.753,719.65,248.94,0.19,3.307,591.017,2024-05-15T23:47:40
5200,40,0.749,231.0,40.0,0.0,0.0,5.603,2024-05-16T00:49:13
