Episode,Step,Epsilon,MeanReward,MeanLength,MeanLoss,MeanQValue,TimeDelta,Time
0,60,1.0,219.0,60.0,0.0,0.0,16.852,2024-05-16T19:18:56
100,41449,0.99,583.81,413.89,0.0,0.0,873.171,2024-05-16T19:33:29
200,76282,0.981,560.55,348.33,0.0,0.0,735.556,2024-05-16T19:45:45
300,110850,0.973,626.62,345.68,0.566,0.478,752.488,2024-05-16T19:58:17
400,152747,0.963,603.82,418.97,1.24,3.284,958.105,2024-05-16T20:14:15
500,183566,0.955,605.08,308.19,0.875,3.532,706.815,2024-05-16T20:26:02
600,233753,0.943,606.18,501.87,0.793,3.423,1158.188,2024-05-16T20:45:20
700,265518,0.936,560.88,317.65,0.806,3.591,735.251,2024-05-16T20:57:36
800,301648,0.927,553.55,361.3,0.765,3.418,840.572,2024-05-16T21:11:36
900,335484,0.92,611.6,338.36,0.823,4.024,788.827,2024-05-16T21:24:45
1000,377097,0.91,590.16,416.13,0.803,3.589,966.743,2024-05-16T21:40:52
1100,416377,0.901,595.2,392.8,0.792,3.693,914.17,2024-05-16T21:56:06
1200,452573,0.893,553.69,361.96,0.775,3.837,844.722,2024-05-16T22:10:11
1300,501219,0.882,672.32,486.46,0.753,3.776,1138.465,2024-05-16T22:29:09
1400,528971,0.876,590.55,277.52,0.792,3.737,645.725,2024-05-16T22:39:55
1500,560475,0.869,606.48,315.04,0.779,4.058,733.961,2024-05-16T22:52:09
1600,596372,0.861,595.71,358.97,0.767,4.0,839.132,2024-05-16T23:06:08
1700,638518,0.852,556.81,421.46,0.747,4.074,985.955,2024-05-16T23:22:34
1800,673768,0.845,631.79,352.5,0.771,3.745,824.527,2024-05-16T23:36:18
1900,706341,0.838,661.53,325.73,0.741,3.84,763.903,2024-05-16T23:49:02
2000,738417,0.831,638.59,320.76,0.772,4.067,758.134,2024-05-17T00:01:40
2100,775110,0.824,621.43,366.93,0.759,4.335,867.649,2024-05-17T00:16:08
2200,814428,0.816,608.43,393.18,0.736,4.16,928.13,2024-05-17T00:31:36
2300,851279,0.808,627.83,368.51,0.747,4.003,872.353,2024-05-17T00:46:09
2400,880335,0.802,561.68,290.56,0.76,3.874,691.137,2024-05-17T00:57:40
2500,911308,0.796,617.33,309.73,0.755,4.016,733.143,2024-05-17T01:09:53
2600,938169,0.791,575.36,268.61,0.755,4.137,636.289,2024-05-17T01:20:29
2700,978979,0.783,650.24,408.1,0.765,4.211,970.913,2024-05-17T01:36:40
2800,1016955,0.776,637.28,379.76,0.744,4.174,906.222,2024-05-17T01:51:46
2900,1046692,0.77,610.62,297.37,0.732,4.061,711.851,2024-05-17T02:03:38
3000,1072331,0.765,643.9,256.39,0.729,4.195,613.922,2024-05-17T02:13:52
3100,1098067,0.76,583.35,257.36,0.756,4.522,613.524,2024-05-17T02:24:06
3200,1128193,0.754,643.84,301.26,0.763,4.63,719.899,2024-05-17T02:36:06
3300,1156167,0.749,656.06,279.74,0.8,4.687,669.214,2024-05-17T02:47:15
3400,1182702,0.744,644.22,265.35,0.798,4.65,637.006,2024-05-17T02:57:52
3500,1214410,0.738,637.67,317.08,0.765,4.637,762.951,2024-05-17T03:10:35
3600,1243463,0.733,590.43,290.53,0.789,4.687,698.723,2024-05-17T03:22:13
